BIOCHEMICAL NAME,499657,499659,499661,499663,499665,499667,499669,499671,499673,499675,499677,499679,499681,499683,499685,499687,499689,499691,499693,499695,499697,499699,499701,499703,499705,499707,499709,499711,499713,499715,499717,499719,499721,499723,499725,499727,499729,499731,499733,499735,499737,499739,499741,499743,499745,499747,499749,499751,499753,499755,499757,499759,499761,499763,499765,499767,499769,499771,499773,499775,499777,499779,499781,499783,499785,499787,499789,499527,499529,499531,499533,499535,499537,499539,499541,499543,499545,499547,499549,499551,499553,499555,499557,499559,499561,499563,499565,499567,499569,499571,499573,499575,499577,499579,499581,499583,499585,499587,499589,499591,499593,499595,499597,499599,499601,499603,499605,499607,499609,499611,499613,499615,499617,499619,499621,499623,499625,499627,499629,499631,499633,499635,499637,499639,499641,499643,499645,499647,499649,499651,499653,499655
,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal
1-arachidonoylglycerophosphoethanolamine*,2.4945501,4.1837833,0.2991561,0.4998096,0.2991561,1.5888628,2.0617121,0.8511927,1.891955,3.397044,0.729738,0.78408,0.4585168,0.4748955,0.3222472,2.2026896,0.3281143,1.0663559,2.1607621,1.9293317,0.3838783,1.3771903,0.6500744,2.434581,0.7359946,0.3519425,1.6119599,0.4635331,5.8949986,1.9045982,3.8516219,0.7058273,1.6382678,2.2580233,1.1326732,1.2108691,0.3099084,0.5121318,0.8056622,1.276282,0.2991561,1.7377221,5.9269731,1.6535919,1.0302836,0.3965929,1.6535435,0.693665,1.3150334,0.4431889,1.1487902,0.504085,3.6081187,0.4584529,0.3986601,6.4079916,0.5682724,1.276624,1.2349998,0.9992458,2.0824311,0.7176217,0.2991561,0.9894696,2.2947981,0.5977464,0.7855255,0.3546289,0.5572831,0.7258329,0.2991561,1.2524613,0.3024207,2.1337026,0.3674483,0.8515835,2.612396,0.2991561,0.3687674,0.6375716,0.2991561,1.0073208,0.2991561,1.8270699,0.3394547,0.2991561,0.2991561,1.8840377,0.5237307,0.2991561,0.6200963,0.4255647,1.8840633,2.9554136,0.5568952,1.1174859,0.9544446,0.9471557,0.2991561,0.488458,1,0.5243334,0.2991561,1.4022614,1.8938447,0.3519931,0.2991561,1.982629,1.437068,0.361877,0.2991561,0.5432907,1.0007542,1.1506697,1.4355709,0.8005091,0.7442962,0.2991561,1.3443769,2.3681436,1.8548869,1,0.9352116,1.2413394,0.9511969,0.5679999,0.9926792,1.2543686,0.9360898,1.7560494,1.0175745,0.2991561
1-arachidonoylglycerophosphoinositol*,0.9812205,12.9683849,0.6285701,1.4218984,0.4114403,3.5743894,2.500975,1.0548921,3.1026879,1.9779525,0.8500641,0.4114403,1,1.4512367,0.4114403,2.5563356,0.4114403,0.4114403,2.8582354,0.5850841,1.0982695,0.4114403,0.6912527,1.1017419,1.9036857,0.4114403,0.4114403,1,7.2664967,1.3645778,0.5117861,0.9441502,1.2144856,2.5082263,2.0043289,2.2814239,0.4114403,1.0146503,0.9966655,0.4114403,0.4114403,0.6427968,9.8381471,1.4750979,1.2184788,0.6797759,0.91815,0.5243555,0.6587013,0.4114403,0.4114403,0.6764807,11.1127941,1.7014147,0.4114403,10.3079031,0.9766684,0.7104479,1,0.4114403,9.8596442,0.8614643,0.4114403,0.8530696,2.253914,0.4114403,0.940005,0.4114403,0.4114403,0.5913168,0.4114403,1.1248264,0.5047228,0.4114403,0.9905091,0.8308854,1.0923013,0.4114403,0.4114403,0.9420061,0.4114403,0.4801965,0.6742136,1.5705246,0.4114403,0.8451296,0.4114403,0.4114403,0.4114403,0.4114403,0.5363468,0.4114403,0.9989028,0.7907417,1.5967412,0.4114403,0.4114403,0.7099405,0.4114403,1.0365128,0.4114403,0.4114403,0.6241125,0.8268726,0.4114403,0.439111,0.6322802,0.4114403,0.4114403,1.0183982,0.6162982,0.4114403,0.4114403,1.1249781,0.4885682,1.0200001,0.4114403,0.4114403,1.74109,2.8264962,1.0638667,0.4114403,0.896227,1.0033345,0.4114403,0.4114403,0.4114403,0.4114403,1.4410878,0.8662948,0.9706346,0.4114403
1-linoleoylglycerophosphocholine,0.1477761,1.7412437,0.1477761,0.1477761,0.1477761,1.4200482,1.6118038,0.1477761,2.466659,5.5710525,1.2364596,0.1477761,0.5654499,0.7427846,0.1477761,1.0371244,1,0.3298937,3.1935906,2.8568919,0.1833264,0.1477761,0.1477761,0.5513879,0.1477761,0.1477761,1.6107011,0.4845603,6.3070356,0.1477761,0.1477761,0.1477761,0.7917423,1.3538144,0.481828,1.2569604,0.1477761,0.1477761,0.8851431,1,0.1477761,0.4197501,0.1477761,0.1477761,0.4889114,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,1.8427393,0.1477761,5.0224897,0.1477761,0.1477761,10.0317528,0.1477761,0.1477761,0.1477761,0.2863852,1.1951057,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.9097907,0.1477761,0.1477761,0.1477761,0.6590539,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.8084777,0.1477761,0.1477761,0.1477761,0.7559798,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.776893,0.1477761,0.1477761,0.3699403,0.9239441,0.1477761,2.208616,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.2989348,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,0.9628756,0.1477761,1.0760559,0.1477761,0.1477761,0.1477761,1.900253,0.1477761,0.1477761,0.1477761,1.6659467,0.1477761,0.1477761,0.1477761,0.1477761,0.1477761,2.2509624,0.1477761,0.1477761
1-methylimidazoleacetate,0.9356624,0.5405153,0.5405153,0.5405153,4.3236862,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,1.7006156,0.5405153,0.5405153,0.5405153,0.5405153,0.8628725,0.5405153,0.5405153,0.5405153,0.5405153,0.7097198,0.5405153,0.6568324,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,1.1462466,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,1.2443006,0.5405153,1.2070087,1.1394221,0.5405153,0.5405153,0.5405153,1.4903505,1.0630092,0.5405153,0.5405153,0.5405153,0.5405153,0.6564074,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,1.3431676,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.8004011,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.7796244,1,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,1.7178309,0.5405153,0.5405153,0.5405153,0.8055313,0.5405153,0.5405153,0.5405153,0.6629923,0.5405153,0.5405153,0.5405153,1.1832673,0.5405153,0.5405153,0.5405153,1,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.829875,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.9369908,1.0107298,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153,0.5405153
1-methylnicotinamide,1.0214334,1.7435799,0.7033339,1.4882744,1.251374,0.6102495,4.4112179,1.8439713,1.7205054,1.7344303,1.9348394,1.4509649,0.2761886,4.6637242,1.0764111,1.9815708,1.4072697,1.7656402,6.2975176,1.4678377,2.0904911,1.1115128,2.0826242,1.8733585,3.5571952,0.9712728,1.5372295,2.5895883,2.7019376,1.8157336,2.5502203,5.958897,1.8251759,4.7888891,1.6758536,2.1944476,0.4107362,1.8790844,4.6655944,3.3025387,1.1970734,1.3148895,2.4486984,1.9285997,2.4908463,1.3518462,1.1102059,0.8202462,0.7689184,0.3443705,1.2952505,2.7443984,10.428485,1.2778347,2.042555,4.3384799,2.0339018,3.9316472,0.4331701,0.4822988,5.755387,0.3240309,1.8561577,1,3.9166538,1.1528051,1.2926252,0.4141637,0.228438,0.8292858,0.1666955,1.6718828,0.4642714,0.8092028,0.5110008,0.401509,0.4624396,0.8168427,0.2679104,0.7279884,0.1666955,0.9603238,0.5769493,0.7167731,0.1666955,0.319343,0.8208901,0.6300706,0.3107528,0.388513,0.8818782,0.3490914,1,0.3321839,1.3223859,0.1666955,1,0.1666955,1.3734961,0.3226197,0.6534164,1.111028,0.1666955,0.5895966,0.9235889,0.6552599,0.2638701,0.2002667,0.3592586,0.4910592,0.5375378,0.3610611,0.6148689,0.2675964,0.5109326,0.5682387,0.4653612,0.2707688,0.8848476,4.9038211,1.3006619,0.8479686,0.6626683,0.1666955,0.5642238,0.1666955,0.6600949,0.5367884,0.5314768,0.4139387,0.7339761,0.3882639
1-myristoylglycerophosphocholine,0.2593538,0.8109539,0.2593538,0.2593538,0.2593538,5.2973358,4.0658151,0.2593538,3.0832692,3.8868527,0.3934032,0.2593538,0.2593538,0.2593538,0.2593538,1.8184041,0.6481154,1.1060784,1,0.2593538,0.2593538,0.2593538,0.8395283,1.1890461,0.2593538,0.2593538,1.8821069,0.3878605,5.2759084,0.2593538,0.2593538,0.2593538,0.2593538,0.8939216,0.2593538,0.2593538,0.2593538,0.2593538,0.5376798,0.469364,0.2593538,0.7346697,0.2593538,1.1604717,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,4.2465169,0.4977223,0.2593538,2.2258342,0.2593538,0.2593538,0.2593538,0.2593538,0.8238412,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538,0.2593538
1-oleoylglycerol (1-monoolein),0.03542482,9.67815092,0.08395493,0.03542482,4.6410233,1.18640102,1.62106936,0.03542482,0.03542482,2.67634219,0.03542482,0.03542482,0.03542482,0.6787051,0.03542482,4.63176166,1.01472477,0.78795952,0.03542482,0.03542482,0.03542482,0.03542482,15.62849764,2.07384601,0.13737001,0.03542482,3.12198289,6.12842851,1,3.15412375,0.43302284,0.0582832,0.03542482,3.9154385,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,2.99192163,0.66661141,0.03542482,0.03542482,0.28911388,0.08459303,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.53239642,0.03542482,1.3212949,0.03542482,0.62968082,0.71882162,0.03542482,3.91515098,0.03542482,0.03542482,3.46223799,0.03542482,0.83398019,1,0.2232986,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.14223021,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.14371257,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,1.16601981,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.39450728,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482,0.03542482
1-oleoylglycerophosphocholine,0.1006635,2.9273416,0.1006635,0.1006635,0.7417049,11.9718877,12.603477,0.3979117,4.7042284,17.3148931,3.6345057,0.436548,0.8312751,2.6604363,0.260357,3.4454518,6.2914794,1.7841283,3.6276645,3.1389737,0.344238,1.5268506,2.8232227,1.246916,0.2192863,0.1006635,3.2745905,0.8825633,30.6162419,1.094395,0.6109882,0.9122545,1,7.4538971,0.5962904,1.7321968,0.1006635,0.1006635,2.3842144,4.3961976,0.3315597,1.1174367,0.7517861,5.4542591,3.1387109,0.1006635,1.4752478,0.1006635,0.1006635,0.1006635,1.6130922,0.5546219,10.8687816,0.1006635,0.1006635,6.7817843,1.124631,1.1021923,0.1006635,0.2091198,4.8423159,0.1006635,0.1366924,4.6491572,0.1006635,0.1937885,0.5588941,0.1006635,0.1006635,0.7144139,0.1006635,0.1006635,0.1006635,0.9520638,0.1006635,0.1006635,0.1006635,0.1006635,0.1006635,0.5214487,0.1006635,0.1275349,0.1006635,0.6129449,0.1006635,0.1006635,0.241991,0.2691788,0.1006635,0.3467052,0.2093077,0.1006635,0.1006635,0.905605,0.1006635,0.1006635,0.2297173,0.7404471,0.1006635,0.875369,0.1006635,0.1006635,0.1006635,0.1006635,0.1006635,0.2554664,0.1006635,0.1006635,0.1006635,0.3064521,0.1006635,0.1006635,0.1006635,1.4110085,0.8102625,0.8930774,0.1006635,0.1006635,0.1006635,2.4398516,0.1006635,0.444417,0.1006635,1.1662099,0.1006635,0.1006635,0.1006635,0.1006635,0.1006635,1.9036164,0.1006635,0.1006635
